,state,no_ms_inc,Homicide rate,Gun homicide rate,Homicide,prop_hom_w_gun,Suicide rate,Gun suicide rate,Suicide,prop_suic_w_gun,Gun deaths,gun_death_rate,gun_at_home
0,AK,9,6.7,4.2,31,0.6268656716417911,30.0,19.4,142,0.6466666666666666,182,24.81623036006714,0.57
1,AL,176,14.8,12.9,650,0.8716216216216216,16.4,12.4,623,0.7560975609756099,1315,26.172909585634077,0.53
2,AR,70,11.1,9.3,281,0.8378378378378379,20.4,12.9,391,0.6323529411764707,698,23.177633649939366,0.52
3,AZ,78,7.7,5.9,430,0.7662337662337663,20.3,12.1,879,0.5960591133004925,1365,19.086899507264345,0.36
4,CA,524,6.4,4.7,1861,0.734375,10.6,4.0,1575,0.37735849056603776,3576,9.044412542263217,0.16
5,CO,98,6.3,4.7,276,0.746031746031746,23.8,12.8,745,0.5378151260504201,1064,18.428346121751094,0.38
6,CT,39,4.4,3.2,116,0.7272727272727273,11.1,3.4,122,0.3063063063063063,248,6.877533317211803,0.19
7,DC,94,33.3,25.2,169,0.7567567567567568,6.9,1.8,12,0.2608695652173913,185,27.247073517022795,
8,DE,25,10.3,8.0,80,0.7766990291262136,13.7,7.6,76,0.5547445255474452,158,15.960434285437216,0.39
9,FL,358,6.7,5.3,1150,0.7910447761194029,15.4,8.9,1928,0.577922077922078,3142,14.588043088306364,0.29
10,GA,258,11.2,9.5,1021,0.8482142857142858,15.5,10.3,1115,0.6645161290322581,2200,20.537891102126718,0.38
11,HI,7,2.7,1.6,23,0.5925925925925926,14.0,2.9,42,0.20714285714285713,71,4.878816385401756,0.09
12,IA,28,2.9,2.0,64,0.6896551724137931,17.2,9.2,293,0.5348837209302325,364,11.409338543597935,0.39
13,ID,6,2.2,1.5,28,0.6818181818181818,20.4,13.8,262,0.6764705882352942,309,16.801641667201345,0.58
14,IL,553,11.7,10.2,1292,0.8717948717948718,11.5,5.2,656,0.45217391304347826,1995,15.570721985110175,0.23
15,IN,132,9.2,7.6,517,0.8260869565217391,16.6,10.2,695,0.6144578313253011,1251,18.43629559851496,0.42
16,KS,40,6.1,4.9,145,0.8032786885245903,19.1,11.8,345,0.6178010471204188,503,17.12118942911215,0.42
17,KY,80,9.0,8.1,364,0.8999999999999999,18.1,11.8,534,0.6519337016574586,947,21.01718748751619,0.53
18,LA,264,20.4,17.4,804,0.8529411764705882,14.9,10.0,463,0.6711409395973155,1314,28.211003708437346,0.52
19,MA,53,2.3,1.4,99,0.6086956521739131,8.6,1.9,136,0.22093023255813954,247,3.513554996453016,0.09
20,MD,168,11.5,9.6,592,0.8347826086956521,10.1,5.0,310,0.49504950495049505,915,14.81247887400554,0.17
21,ME,8,1.5,0.9,12,0.6,20.2,11.5,158,0.5693069306930694,178,13.065572290416844,0.48
22,MI,190,8.2,7.0,701,0.853658536585366,14.8,8.1,810,0.5472972972972973,1544,15.321517175529909,0.39
23,MN,84,4.1,2.9,164,0.7073170731707318,14.2,6.9,393,0.48591549295774655,573,10.041191666897397,0.39
24,MO,181,11.6,9.9,609,0.8534482758620691,19.1,12.1,747,0.6335078534031413,1414,22.97351725361512,0.53
25,MS,139,22.2,19.8,583,0.891891891891892,16.3,11.3,333,0.6932515337423313,962,32.485962990991396,0.54
26,MT,5,4.2,2.7,30,0.6428571428571429,31.7,21.6,239,0.6813880126182966,280,25.824897968595078,0.65
27,NC,211,9.4,8.1,850,0.8617021276595744,13.7,8.7,916,0.635036496350365,1839,17.61597518935018,0.37
28,ND,5,3.1,2.6,20,0.8387096774193549,20.1,13.2,102,0.6567164179104477,128,16.429339720239152,0.53
29,NE,20,3.6,2.3,46,0.6388888888888888,14.7,7.4,145,0.5034013605442177,200,10.196257565623114,0.39
30,NH,3,1.1,,0,,16.1,8.0,111,0.49689440993788814,123,8.929031621112877,0.46
31,NJ,121,4.4,3.0,276,0.6818181818181818,7.4,2.1,195,0.28378378378378377,475,5.113578499458606,0.09
32,NM,44,14.5,10.9,230,0.7517241379310345,25.2,14.4,305,0.5714285714285715,578,27.29605642822129,0.36
33,NV,49,8.4,6.3,199,0.75,22.0,13.1,413,0.5954545454545455,633,20.389008102134436,0.33
34,NY,248,4.6,3.1,613,0.673913043478261,8.4,2.2,439,0.2619047619047619,1078,5.336303710726005,0.14
35,OH,248,8.7,7.4,872,0.8505747126436782,15.0,8.4,991,0.56,1911,16.195672882324665,0.42
36,OK,69,8.6,6.4,257,0.744186046511628,22.0,13.8,551,0.6272727272727273,836,21.114560889114966,0.55
37,OR,34,4.8,3.4,146,0.7083333333333334,20.9,11.9,505,0.5693779904306221,670,15.812119919117468,0.41
38,PA,285,8.5,6.6,861,0.776470588235294,14.5,7.7,997,0.5310344827586208,1905,14.650803294700331,0.4
39,PR,1,,,,,,,,,,,
40,RI,7,3.7,2.5,27,0.6756756756756757,10.7,3.3,36,0.308411214953271,64,5.83207806965506,0.14
41,SC,147,12.6,10.7,558,0.8492063492063492,15.5,10.5,546,0.6774193548387096,1136,22.19432735655988,0.45
42,SD,6,5.0,2.8,25,0.5599999999999999,22.7,10.9,98,0.4801762114537445,128,14.43608479846436,0.55
43,TN,200,11.6,10.2,714,0.8793103448275862,17.5,11.7,814,0.6685714285714285,1569,22.703462965428226,0.47
44,TX,481,8.1,6.6,1942,0.8148148148148148,14.2,8.6,2528,0.6056338028169014,4613,15.82748351761275,0.36
45,UT,14,2.7,2.1,70,0.7777777777777778,19.3,10.9,364,0.5647668393782384,450,13.754670474774546,0.4
46,VA,137,7.0,5.8,505,0.8285714285714285,13.7,8.2,709,0.5985401459854014,1248,14.458848067745263,0.35
47,VI,3,,,,,,,,,,,
48,VT,1,1.5,,0,,22.0,11.5,74,0.5227272727272727,83,12.906697020730022,0.5
49,WA,82,4.5,3.3,254,0.7333333333333333,15.9,8.0,617,0.5031446540880503,896,11.628388374155337,0.32
50,WI,89,5.9,4.9,290,0.8305084745762712,15.3,8.2,484,0.5359477124183006,793,13.455004124730772,0.47
51,WV,15,6.4,4.8,86,0.7499999999999999,21.0,12.7,227,0.6047619047619047,319,17.78430922174971,0.6
52,WY,3,2.8,1.7,10,0.6071428571428572,32.8,23.7,137,0.7225609756097562,155,26.870023628285296,0.61
